district_id,aadhaar_id,biometric_update_flag,demographic_update_flag,last_update_date,total_aadhaar_holders
D001,UID_D001_000,0,0,,20
D001,UID_D001_001,0,0,,20
D001,UID_D001_002,0,1,2023-11-06,20
D001,UID_D001_003,0,0,,20
D001,UID_D001_004,0,0,,20
D001,UID_D001_005,0,0,,20
D001,UID_D001_006,0,1,2024-07-12,20
D001,UID_D001_007,0,1,2024-06-21,20
D001,UID_D001_008,0,0,,20
D001,UID_D001_009,0,0,,20
D001,UID_D001_010,0,1,2024-05-29,20
D001,UID_D001_011,0,0,,20
D001,UID_D001_012,0,0,,20
D001,UID_D001_013,0,0,,20
D001,UID_D001_014,0,1,2025-01-09,20
D001,UID_D001_015,0,1,2024-05-13,20
D001,UID_D001_016,0,0,,20
D001,UID_D001_017,0,1,2024-04-16,20
D001,UID_D001_018,0,1,2023-07-05,20
D001,UID_D001_019,0,1,2024-05-19,20
D002,UID_D002_000,1,0,2025-05-29,20
D002,UID_D002_001,1,0,2025-07-31,20
D002,UID_D002_002,1,0,2025-10-12,20
D002,UID_D002_003,1,1,2025-09-10,20
D002,UID_D002_004,1,0,2025-07-09,20
D002,UID_D002_005,0,1,2025-12-05,20
D002,UID_D002_006,1,1,2025-03-23,20
D002,UID_D002_007,1,0,2025-09-20,20
D002,UID_D002_008,1,0,invalid-date,20
D002,UID_D002_009,0,0,,20
D002,UID_D002_010,0,0,,20
D002,UID_D002_011,0,0,,20
D002,UID_D002_012,1,0,2025-03-14,20
D002,UID_D002_013,0,0,,20
D002,UID_D002_014,1,0,2025-10-20,20
D002,UID_D002_015,0,1,2025-04-11,20
D002,UID_D002_016,0,0,,20
D002,UID_D002_017,0,0,,20
D002,UID_D002_018,1,1,2025-10-18,20
D002,UID_D002_019,1,0,2025-10-10,20
D003,UID_D003_000,1,0,2026-01-07,20
D003,UID_D003_001,1,0,2025-12-31,20
D003,UID_D003_002,1,0,2025-12-19,20
D003,UID_D003_003,1,0,2025-12-31,20
D003,UID_D003_004,1,0,2026-01-13,20
D003,UID_D003_005,1,1,2025-12-23,20
D003,UID_D003_006,1,0,2025-12-29,20
D003,UID_D003_007,1,0,2026-01-14,20
D003,UID_D003_008,1,0,2025-12-27,20
D003,UID_D003_009,1,0,2026-01-17,20
D003,UID_D003_010,0,0,,20
D003,UID_D003_011,0,0,,20
D003,UID_D003_012,1,0,2026-01-01,20
D003,UID_D003_013,1,0,2026-01-10,20
D003,UID_D003_014,1,1,2025-12-19,20
D003,UID_D003_015,1,1,2025-12-20,20
D003,UID_D003_016,1,0,2025-12-21,20
D003,UID_D003_017,1,1,2025-12-18,20
D003,UID_D003_018,1,0,2026-01-04,20
D003,UID_D003_019,1,0,2026-01-07,20
D004,UID_D004_000,1,1,2025-12-19,20
D004,UID_D004_001,0,0,,20
D004,UID_D004_002,1,0,2025-12-24,20
D004,UID_D004_003,1,0,2025-12-24,20
D004,UID_D004_004,1,1,2026-01-15,20
D004,UID_D004_005,1,1,2025-12-19,20
D004,UID_D004_006,1,0,2025-12-29,20
D004,UID_D004_007,1,0,2026-01-01,20
D004,UID_D004_008,1,0,2026-01-01,20
D004,UID_D004_009,1,0,2026-01-01,20
D004,UID_D004_010,1,1,2025-12-21,20
D004,UID_D004_011,1,0,2025-12-22,20
D004,UID_D004_012,1,1,2025-12-24,20
D004,UID_D004_013,1,0,2025-12-18,20
D004,UID_D004_014,1,1,2026-01-14,20
D004,UID_D004_015,1,1,2025-12-29,20
D004,UID_D004_016,1,1,2026-01-07,20
D004,UID_D004_017,1,1,invalid-date,20
D004,UID_D004_018,1,0,2026-01-10,20
D004,UID_D004_019,1,0,2026-01-03,20
D005,UID_D005_000,1,0,2026-01-15,20
D005,UID_D005_001,1,0,2025-12-23,20
D005,UID_D005_002,1,0,2026-01-06,20
D005,UID_D005_003,1,0,2026-01-02,20
D005,UID_D005_004,1,0,2026-01-04,20
D005,UID_D005_005,1,0,2026-01-09,20
D005,UID_D005_006,1,1,2026-01-10,20
D005,UID_D005_007,1,0,2026-01-03,20
D005,UID_D005_008,1,0,2026-01-10,20
D005,UID_D005_009,1,0,2026-01-13,20
D005,UID_D005_010,1,1,2026-01-09,20
D005,UID_D005_011,1,0,2026-01-09,20
D005,UID_D005_012,1,0,2025-12-21,20
D005,UID_D005_013,1,1,2026-01-08,20
D005,UID_D005_014,1,0,2026-01-16,20
D005,UID_D005_015,1,0,2025-12-26,20
D005,UID_D005_016,1,0,2026-01-17,20
D005,UID_D005_017,1,0,2025-12-20,20
D005,UID_D005_018,0,0,,20
D005,UID_D005_019,1,1,2026-01-10,20
D006,UID_D006_000,1,0,2025-06-10,20
D006,UID_D006_001,0,1,2025-08-29,20
D006,UID_D006_002,1,0,2025-10-20,20
D006,UID_D006_003,1,0,2025-11-07,20
D006,UID_D006_004,1,1,2025-05-04,20
D006,UID_D006_005,1,0,2025-10-18,20
D006,UID_D006_006,1,0,2025-06-07,20
D006,UID_D006_007,1,0,2025-08-23,20
D006,UID_D006_008,1,0,2025-12-11,20
D006,UID_D006_009,1,1,2025-08-30,20
D006,UID_D006_010,0,0,,20
D006,UID_D006_011,0,0,,20
D006,UID_D006_012,0,1,2025-03-12,20
D006,UID_D006_013,0,0,,20
D006,UID_D006_014,0,0,,20
D006,UID_D006_015,0,0,,20
D006,UID_D006_016,0,0,,20
D006,UID_D006_017,1,1,2025-07-17,20
D006,UID_D006_018,0,0,,20
D006,UID_D006_019,1,0,2025-11-25,20
D007,UID_D007_000,1,1,2025-06-17,20
D007,UID_D007_001,1,0,2025-03-03,20
D007,UID_D007_002,0,0,,20
D007,UID_D007_003,1,1,2025-07-03,20
D007,UID_D007_004,0,1,2025-08-24,20
D007,UID_D007_005,1,1,2025-12-12,20
D007,UID_D007_006,1,0,2025-12-09,20
D007,UID_D007_007,1,1,2025-06-15,20
D007,UID_D007_008,0,0,,20
D007,UID_D007_009,1,0,2025-07-27,20
D007,UID_D007_010,1,1,2025-05-11,20
D007,UID_D007_011,1,0,2025-07-05,20
D007,UID_D007_012,0,0,,20
D007,UID_D007_013,1,0,2025-09-16,20
D007,UID_D007_014,0,0,,20
D007,UID_D007_015,0,1,2025-08-12,20
D007,UID_D007_016,1,0,2025-07-22,20
D007,UID_D007_017,0,0,,20
D007,UID_D007_018,0,0,,20
D007,UID_D007_019,0,0,,20
D008,UID_D008_000,0,1,2023-12-26,20
D008,UID_D008_001,0,0,,20
D008,UID_D008_002,0,0,,20
D008,UID_D008_003,0,1,2024-05-19,20
D008,UID_D008_004,0,0,,20
D008,UID_D008_005,0,0,,20
D008,UID_D008_006,0,0,,20
D008,UID_D008_007,0,0,,20
D008,UID_D008_008,0,0,,20
D008,UID_D008_009,0,0,,20
D008,UID_D008_010,0,0,,20
D008,UID_D008_011,0,0,,20
D008,UID_D008_012,0,0,,20
D008,UID_D008_013,0,1,2024-06-16,20
D008,UID_D008_014,0,0,,20
D008,UID_D008_015,0,1,2024-02-25,20
D008,UID_D008_016,0,0,,20
D008,UID_D008_017,0,1,2023-06-18,20
D008,UID_D008_018,0,0,,20
D008,UID_D008_019,0,0,,20
D009,UID_D009_000,0,1,2023-11-21,20
D009,UID_D009_001,0,1,2024-04-04,20
D009,UID_D009_002,0,0,,20
D009,UID_D009_003,0,0,,20
D009,UID_D009_004,0,1,2023-08-14,20
D009,UID_D009_005,0,0,,20
D009,UID_D009_006,0,0,,20
D009,UID_D009_007,0,0,,20
D009,UID_D009_008,0,1,2023-05-28,20
D009,UID_D009_009,0,0,,20
D009,UID_D009_010,0,0,,20
D009,UID_D009_011,0,0,,20
D009,UID_D009_012,0,0,,20
D009,UID_D009_013,0,0,,20
D009,UID_D009_014,0,0,,20
D009,UID_D009_015,0,0,,20
D009,UID_D009_016,0,0,,20
D009,UID_D009_017,0,0,,20
D009,UID_D009_018,0,0,,20
D009,UID_D009_019,0,1,2023-09-30,20
D010,UID_D010_000,0,1,2024-04-24,20
D010,UID_D010_001,0,0,,20
D010,UID_D010_002,0,0,,20
D010,UID_D010_003,0,0,,20
D010,UID_D010_004,0,0,,20
D010,UID_D010_005,0,1,2024-10-25,20
D010,UID_D010_006,0,0,,20
D010,UID_D010_007,0,0,,20
D010,UID_D010_008,0,0,,20
D010,UID_D010_009,0,0,,20
D010,UID_D010_010,0,0,,20
D010,UID_D010_011,0,0,invalid-date,20
D010,UID_D010_012,0,0,,20
D010,UID_D010_013,0,0,,20
D010,UID_D010_014,0,0,,20
D010,UID_D010_015,0,1,2024-09-04,20
D010,UID_D010_016,0,0,,20
D010,UID_D010_017,0,0,,20
D010,UID_D010_018,0,0,,20
D010,UID_D010_019,0,0,,20
D011,UID_D011_000,0,0,,20
D011,UID_D011_001,0,0,,20
D011,UID_D011_002,0,0,,20
D011,UID_D011_003,0,0,,20
D011,UID_D011_004,1,1,2025-04-15,20
D011,UID_D011_005,0,0,,20
D011,UID_D011_006,0,0,,20
D011,UID_D011_007,0,0,,20
D011,UID_D011_008,1,0,2025-12-04,20
D011,UID_D011_009,1,1,2025-09-09,20
D011,UID_D011_010,1,0,2025-05-07,20
D011,UID_D011_011,0,1,2025-10-11,20
D011,UID_D011_012,1,0,2025-05-13,20
D011,UID_D011_013,0,0,,20
D011,UID_D011_014,0,0,,20
D011,UID_D011_015,1,0,2025-07-09,20
D011,UID_D011_016,1,0,2025-08-17,20
D011,UID_D011_017,1,0,2025-05-13,20
D011,UID_D011_018,0,0,,20
D011,UID_D011_019,0,0,,20
D012,UID_D012_000,1,1,2025-12-28,20
D012,UID_D012_001,1,1,invalid-date,20
D012,UID_D012_002,1,0,2026-01-12,20
D012,UID_D012_003,0,0,,20
D012,UID_D012_004,1,1,2025-12-18,20
D012,UID_D012_005,1,0,2025-12-18,20
D012,UID_D012_006,1,0,2026-01-16,20
D012,UID_D012_007,1,1,2026-01-09,20
D012,UID_D012_008,1,0,2026-01-14,20
D012,UID_D012_009,1,0,2026-01-07,20
D012,UID_D012_010,1,1,2025-12-25,20
D012,UID_D012_011,1,0,2025-12-26,20
D012,UID_D012_012,1,1,2026-01-03,20
D012,UID_D012_013,1,1,2025-12-26,20
D012,UID_D012_014,1,0,2026-01-11,20
D012,UID_D012_015,1,1,2026-01-03,20
D012,UID_D012_016,1,0,2026-01-01,20
D012,UID_D012_017,1,1,2025-12-31,20
D012,UID_D012_018,1,0,2026-01-10,20
D012,UID_D012_019,1,0,2026-01-13,20
D013,UID_D013_000,1,0,2025-12-22,20
D013,UID_D013_001,1,0,2025-12-29,20
D013,UID_D013_002,1,1,invalid-date,20
D013,UID_D013_003,1,0,2026-01-04,20
D013,UID_D013_004,1,1,2025-12-25,20
D013,UID_D013_005,1,0,2025-12-27,20
D013,UID_D013_006,1,0,2025-12-22,20
D013,UID_D013_007,1,1,2026-01-12,20
D013,UID_D013_008,1,0,2026-01-17,20
D013,UID_D013_009,1,1,2026-01-03,20
D013,UID_D013_010,1,0,2026-01-14,20
D013,UID_D013_011,1,0,2026-01-06,20
D013,UID_D013_012,1,0,2025-12-18,20
D013,UID_D013_013,1,1,2025-12-22,20
D013,UID_D013_014,1,0,2026-01-03,20
D013,UID_D013_015,1,0,2025-12-28,20
D013,UID_D013_016,1,0,2026-01-05,20
D013,UID_D013_017,1,0,2026-01-14,20
D013,UID_D013_018,1,1,2026-01-16,20
D013,UID_D013_019,1,1,2025-12-29,20
D014,UID_D014_000,1,0,2025-07-10,20
D014,UID_D014_001,0,0,,20
D014,UID_D014_002,1,0,2025-09-17,20
D014,UID_D014_003,1,0,2025-07-01,20
D014,UID_D014_004,0,0,,20
D014,UID_D014_005,1,0,2025-08-13,20
D014,UID_D014_006,0,0,,20
D014,UID_D014_007,0,0,,20
D014,UID_D014_008,0,0,,20
D014,UID_D014_009,0,1,2025-11-12,20
D014,UID_D014_010,1,1,2025-07-19,20
D014,UID_D014_011,0,0,,20
D014,UID_D014_012,1,1,2025-02-18,20
D014,UID_D014_013,1,0,2025-06-11,20
D014,UID_D014_014,0,0,,20
D014,UID_D014_015,0,1,2025-02-14,20
D014,UID_D014_016,1,0,2025-06-10,20
D014,UID_D014_017,0,1,2025-06-05,20
D014,UID_D014_018,0,1,2025-06-30,20
D014,UID_D014_019,1,0,2025-08-22,20
D015,UID_D015_000,0,0,,20
D015,UID_D015_001,0,0,,20
D015,UID_D015_002,0,0,,20
D015,UID_D015_003,0,1,2024-03-21,20
D015,UID_D015_004,0,1,2024-05-13,20
D015,UID_D015_005,0,0,,20
D015,UID_D015_006,0,0,,20
D015,UID_D015_007,0,0,,20
D015,UID_D015_008,0,0,,20
D015,UID_D015_009,0,0,,20
D015,UID_D015_010,0,1,2023-06-27,20
D015,UID_D015_011,0,0,,20
D015,UID_D015_012,0,0,invalid-date,20
D015,UID_D015_013,0,0,,20
D015,UID_D015_014,0,0,,20
D015,UID_D015_015,0,0,,20
D015,UID_D015_016,0,0,,20
D015,UID_D015_017,0,0,,20
D015,UID_D015_018,0,0,,20
D015,UID_D015_019,0,0,,20
D016,UID_D016_000,0,0,,20
